State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
United States,570662725,171882,220965,459234791,138320,426320027,165074,232792508,70.1,213233515,82.6,196806194,59.3,183602853,71.1,326962665,216160760,27539300,0,16597641,175430932,266730650,475568,71772104,109076901,15829411,127778,71689633,95988126,15800371,124723,N/A,70.1,N/A,82.6,55.1,169832632,65.8,232792508,54970421,99.9,47258025,86.2,22541396,22400457,2260596,55576,122584350,223727,1041510,228677953,80.7,196569731,69.3,71767987,108848476,15825603,127665,454871927,160437,201278,232755525,74.5,196796836,63,71769000,109073559,15826533,127744,459190621,147052,182749,40247890,20.5,40204684,21.9,30800394,32.1,20660870,43.7,17146738,22550493,540400,10259,20437911,15066498,1845642,N/A,21018465,15886645,501277,10175,19548082,875369,9822,4638,850458,14200669,11433,3938,577156,788455,479459,572,42769,22152,563,1027,95.6,4.3,0,0,5.6,94.3,0.1,0,31.3,42.7,26,0,64.3,33.3,0.8,1.5
Alaska,1269085,173480,230089,949474,129790,877269,159052,456888,62.5,414700,75.2,395581,54.1,366640,66.5,696845,491940,80300,0,39146,370793,538787,748,148289,211395,35810,87,147894,182996,35669,81,N/A,62.5,N/A,75.2,49.5,333471,60.5,456888,83980,91.7,76458,83.5,42166,30874,3382,36,196591,214647,1385650,447311,73.5,394630,64.8,148285,210451,35807,87,938954,154211,208430,456835,67.1,395573,58.1,148287,211392,35807,87,949412,139524,186503,100548,25.4,100259,27.3,69655,40.4,40998,53.6,43874,55637,1026,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,7802940,159140,204540,5229021,106645,4958464,129977,2767489,56.4,2608087,68.4,2262464,46.1,2151518,56.4,4069040,3372700,361200,0,154009,2303549,2771177,286,962088,1149386,150476,514,961633,1038982,150391,512,N/A,56.4,N/A,68.4,43.4,2019364,52.9,2767489,773540,91,666665,78.4,353828,277029,35471,337,1635995,192507,918169,2752541,65.7,2262347,54,962076,1149290,150467,514,5213830,124528,186366,2767160,60,2262406,49.1,962084,1149339,150469,514,5228647,113449,169304,412609,18.2,412066,19.2,346268,27,247250,37.1,194557,212001,6036,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arkansas,4839070,160351,208792,3521460,116689,3273078,141224,1823691,60.4,1675335,72.3,1487634,49.3,1387091,59.8,2582970,2025300,230800,0,108245,1516202,1893745,3268,625785,757076,103970,803,624673,658199,103449,770,N/A,60.4,N/A,72.3,46.2,1294498,55.9,1823691,475804,90.8,404476,77.2,227124,161942,14970,440,1037739,198086,923695,1796873,70.3,1485047,58.1,625773,754624,103849,801,3492112,136557,189230,1822251,64.4,1487463,52.6,625774,757034,103853,802,3519959,124409,171032,311438,20.9,311110,22.4,247136,31.7,173147,42.8,143746,163761,3543,388,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Samoa,75120,158508,239732,67693,142836,56172,179263,35553,75,29439,93.9,31367,66.2,25995,83,53820,20700,600,0,547,18740,48405,1,8515,22296,556,0,8498,16942,555,0,N/A,75,N/A,93.9,65,25449,81.2,35553,2929,89.4,2671,81.5,1129,1517,25,0,5860,178768,2291640,35486,96.1,31360,84.9,8514,22290,556,0,67621,183170,203483,35553,82.5,31367,72.8,8515,22296,556,0,67693,157024,174252,1358,4.3,1353,5.2,846,8.8,358,13.4,473,885,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,11680640,160477,207159,9580846,131628,8883226,157546,4676063,64.2,4267291,75.7,3977260,54.6,3705091,65.7,6542720,4590920,547000,0,322749,3837009,5402434,18654,1530858,2136558,304547,5297,1530227,1865521,304111,5232,N/A,64.2,N/A,75.7,50.8,3429066,60.8,4676063,1220026,93.2,1074879,82.1,523660,500383,47972,2864,2882435,220263,892583,4601114,74.1,3976402,64.1,1530831,2135974,304302,5295,9503530,153133,188213,4675440,68.3,3976976,58.1,1530840,2136527,304312,5297,9580097,139877,170547,774562,19.5,773238,20.9,609085,30.4,429452,40,315409,450845,8000,308,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bureau of Prisons,286440,N/A,N/A,257747,N/A,257745,N/A,130953,N/A,130951,N/A,125537,N/A,125536,N/A,147420,122920,16100,0,13135,107030,137551,31,48542,64184,12811,0,48542,64184,12810,0,N/A,N/A,N/A,N/A,0,113519,0,130953,3654,0,3563,0,1707,1669,187,0,7910,0,0,130951,0,125536,0,48542,64184,12810,0,257745,0,0,130951,0,125536,0,48542,64184,12810,0,257745,0,0,13518,10.8,13518,10.8,4782,17,867,24.3,6552,6655,290,21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
California,70222965,177725,229355,59522458,150643,54611716,178367,31128095,78.8,28171390,92,24940240,63.1,22987833,75.1,41060265,25861600,3301100,0,2078282,22552459,34876513,15204,8979566,13970905,1985402,4367,8953658,12052389,1977716,4070,N/A,78.8,N/A,92,58.9,21327027,69.7,31128095,6310641,99.9,4977176,85.3,2507777,2271675,196383,1341,13478286,230867,1202840,30493087,90.6,24869758,73.9,8978860,13901584,1984958,4356,58815189,174805,208710,31123607,83.8,24939195,67.2,8979222,13970557,1985049,4367,59517223,160301,189135,5084954,20.4,5080184,22.1,3608917,33.3,2274344,45.7,2201009,2800360,83276,309,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colorado,10087265,175165,224200,8594706,149246,7933951,176341,4110350,71.4,3717343,82.6,3637400,63.2,3372090,74.9,5831185,3802680,453400,0,305950,3376006,4906039,6711,1360241,1986247,289048,1864,1356534,1725924,287831,1801,N/A,71.4,N/A,82.6,59.2,3147062,69.9,4110350,809603,96.1,741621,88,354058,361093,25790,680,2001111,237545,1197430,4001717,81.1,3624912,73.4,1360219,1973811,289021,1861,8473108,171657,204359,4110081,75.7,3637345,67,1360229,1986226,289026,1864,8594404,158377,185888,993428,27.3,992187,29.4,682796,43.6,431418,58.2,445312,535200,12803,113,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Connecticut,6789385,190430,239244,5970563,167464,5496681,193692,2991370,83.9,2710832,95.5,2563141,71.9,2375209,83.7,3859245,2619240,310900,0,224350,2234241,3510789,1183,906093,1439737,216886,425,905607,1252577,216706,319,N/A,83.9,N/A,95.5,66.8,2192908,77.3,2991370,694886,99.9,592964,94.1,233346,337973,21552,93,1599705,253823,1077260,2926036,94.2,2561810,82.5,905804,1438779,216805,422,5902998,190055,218593,2990123,88.4,2562709,75.7,905886,1439592,216807,424,5968906,176408,200657,595394,23.2,595061,25.1,472521,37.2,312947,52.8,263734,325032,6614,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
